timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678727998719,15,OP: product/52/price/,200,,Thread Group 1-2,,true,,533,427,2,2,http://localhost:8080/api/v1/product/52/price/,15,0,0
1678727998734,5,POST: product/51/price/,200,,Thread Group 1-2,text,true,,531,423,2,2,http://localhost:8080/api/v1/product/51/price/,4,0,0
1678727998739,4,POST: product/50/price/,200,,Thread Group 1-2,text,true,,529,423,2,2,http://localhost:8080/api/v1/product/50/price/,4,0,0
1678727998743,7,POST: product/52/price/,200,,Thread Group 1-2,text,true,,531,423,2,2,http://localhost:8080/api/v1/product/52/price/,6,0,0
1678727998750,81,STORE_RELATED_ITEMS,404,"Number of samples in transaction : 8, number of failing samples : 1",Thread Group 1-2,,false,,5859,3236,2,2,null,0,5,0
1678727998750,17,OP: category/?count=20&page=0&store=DEFAULT&lang=en,200,,Thread Group 1-2,,true,,533,443,2,2,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,17,0,0
1678727998768,14,OP: content/boxes/headerMessage/?lang=en,200,,Thread Group 1-2,,true,,533,432,2,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,14,0,0
1678727998783,15,OP: store/DEFAULT,200,,Thread Group 1-2,,true,,533,409,2,2,http://localhost:8080/api/v1/store/DEFAULT,15,0,0
1678727998798,18,OP: content/pages/?page=0&count=20&store=DEFAULT&lang=e,200,,Thread Group 1-2,,true,,533,448,2,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,18,0,0
1678727998817,3,GET: content/pages/,200,,Thread Group 1-2,text,true,,511,391,2,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,3,0,0
1678727998821,4,GET: store/DEFAULT,200,,Thread Group 1-2,text,true,,1163,352,2,2,http://localhost:8080/api/v1/store/DEFAULT,3,0,0
1678727998825,6,GET: content/boxes/headerMessage/,404,,Thread Group 1-2,text,false,,522,375,2,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,5,0,0
1678727998831,4,GET: category,200,,Thread Group 1-2,text,true,,1531,386,2,2,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,4,0,0
1678727998836,11,S01_S01_OP: product/52/price/,200,,Thread Group 1-2,,true,,533,427,2,2,http://localhost:8080/api/v1/product/52/price/,11,0,0
1678727998847,12,S01_S01_OP: product/51/price/,200,,Thread Group 1-2,,true,,533,427,2,2,http://localhost:8080/api/v1/product/51/price/,12,0,0
1678727998859,11,S01_S01_OP: product/50/price/,200,,Thread Group 1-2,,true,,533,427,2,2,http://localhost:8080/api/v1/product/50/price/,11,0,0
1678727998871,4,S01_S01_POST: product/51/price/,200,,Thread Group 1-2,text,true,,531,423,2,2,http://localhost:8080/api/v1/product/51/price/,3,0,0
1678727998876,4,S01_S01_POST: product/50/price/,200,,Thread Group 1-2,text,true,,529,423,3,3,http://localhost:8080/api/v1/product/50/price/,3,0,0
1678727998880,7,S01_S01_POST: product/52/price/,200,,Thread Group 1-2,text,true,,531,423,3,3,http://localhost:8080/api/v1/product/52/price/,4,0,0
1678727998887,15,S01_S01_OP: products/group/FEATURED_ITEM,200,,Thread Group 1-2,,true,,533,446,3,3,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,15,0,0
1678727998903,7,S01_S01_GET: products/group/FEATURED_ITEM,200,,Thread Group 1-2,text,true,,9311,389,3,3,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,6,0,0
1678727998910,15,S01_S01_OP: product/1/price/,200,,Thread Group 1-2,,true,,533,426,3,3,http://localhost:8080/api/v1/product/1/price/,15,0,0
1678727998926,12,S01_S01_OP: product/1/price/,200,,Thread Group 1-2,,true,,533,426,3,3,http://localhost:8080/api/v1/product/1/price/,12,0,0
1678727998938,4,S01_S01_POST: product/1/price/,200,,Thread Group 1-2,text,true,,531,422,3,3,http://localhost:8080/api/v1/product/1/price/,3,0,0
1678727998942,4,S01_S01_POST product/1/price/,200,,Thread Group 1-2,text,true,,531,422,3,3,http://localhost:8080/api/v1/product/1/price/,4,0,0
1678727998879,234,S01_01_Launch,404,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-3,,false,,25194,11628,4,4,null,0,9,1
1678727998879,10,PING,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,983,761,3,3,null,0,1,1
1678727998880,7,/actuator/health/ping,200,,Thread Group 1-3,,true,,533,409,3,3,http://localhost:8080/actuator/health/ping,7,0,1
1678727998887,3,/actuator/health/ping,200,,Thread Group 1-3,text,true,,450,352,3,3,http://localhost:8080/actuator/health/ping,2,0,0
1678727998890,50,CHAIR_PRODUCT_PRICE,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-3,,true,,3190,2550,3,3,null,0,2,0
1678727998891,11,OP: product/50/price/,200,,Thread Group 1-3,,true,,533,427,3,3,http://localhost:8080/api/v1/product/50/price/,11,0,0
1678727998903,14,OP: product/51/price/,200,,Thread Group 1-3,,true,,533,427,3,3,http://localhost:8080/api/v1/product/51/price/,14,0,0
1678727998917,13,OP: product/52/price/,200,,Thread Group 1-3,,true,,533,427,3,3,http://localhost:8080/api/v1/product/52/price/,13,0,0
1678727998930,5,POST: product/51/price/,200,,Thread Group 1-3,text,true,,531,423,3,3,http://localhost:8080/api/v1/product/51/price/,4,0,0
1678727998935,4,POST: product/50/price/,200,,Thread Group 1-3,text,true,,529,423,3,3,http://localhost:8080/api/v1/product/50/price/,3,0,0
1678727998939,3,POST: product/52/price/,200,,Thread Group 1-3,text,true,,531,423,3,3,http://localhost:8080/api/v1/product/52/price/,2,0,0
1678727998942,71,STORE_RELATED_ITEMS,404,"Number of samples in transaction : 8, number of failing samples : 1",Thread Group 1-3,,false,,5859,3236,3,3,null,0,2,0
1678727998942,14,OP: category/?count=20&page=0&store=DEFAULT&lang=en,200,,Thread Group 1-3,,true,,533,443,3,3,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,14,0,0
1678727998957,13,OP: content/boxes/headerMessage/?lang=en,200,,Thread Group 1-3,,true,,533,432,3,3,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,13,0,0
1678727998970,14,OP: store/DEFAULT,200,,Thread Group 1-3,,true,,533,409,3,3,http://localhost:8080/api/v1/store/DEFAULT,14,0,0
1678727998984,13,OP: content/pages/?page=0&count=20&store=DEFAULT&lang=e,200,,Thread Group 1-3,,true,,533,448,3,3,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,13,0,0
1678727998998,3,GET: content/pages/,200,,Thread Group 1-3,text,true,,511,391,3,3,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,2,0,0
1678727999001,4,GET: store/DEFAULT,200,,Thread Group 1-3,text,true,,1163,352,3,3,http://localhost:8080/api/v1/store/DEFAULT,3,0,0
1678727999005,6,GET: content/boxes/headerMessage/,404,,Thread Group 1-3,text,false,,522,375,3,3,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,5,0,0
1678727999011,4,GET: category,200,,Thread Group 1-3,text,true,,1531,386,3,3,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,3,0,0
1678727999015,12,S01_S01_OP: product/52/price/,200,,Thread Group 1-3,,true,,533,427,3,3,http://localhost:8080/api/v1/product/52/price/,12,0,0
1678727999028,11,S01_S01_OP: product/51/price/,200,,Thread Group 1-3,,true,,533,427,3,3,http://localhost:8080/api/v1/product/51/price/,11,0,0
1678727999039,11,S01_S01_OP: product/50/price/,200,,Thread Group 1-3,,true,,533,427,3,3,http://localhost:8080/api/v1/product/50/price/,11,0,0
1678727999051,4,S01_S01_POST: product/51/price/,200,,Thread Group 1-3,text,true,,531,423,3,3,http://localhost:8080/api/v1/product/51/price/,3,0,0
1678727999055,4,S01_S01_POST: product/50/price/,200,,Thread Group 1-3,text,true,,529,423,3,3,http://localhost:8080/api/v1/product/50/price/,3,0,0
1678727999060,4,S01_S01_POST: product/52/price/,200,,Thread Group 1-3,text,true,,531,423,3,3,http://localhost:8080/api/v1/product/52/price/,3,0,0
1678727999064,14,S01_S01_OP: products/group/FEATURED_ITEM,200,,Thread Group 1-3,,true,,533,446,3,3,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,14,0,0
1678727999078,5,S01_S01_GET: products/group/FEATURED_ITEM,200,,Thread Group 1-3,text,true,,9311,389,4,4,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,4,0,0
1678727999083,15,S01_S01_OP: product/1/price/,200,,Thread Group 1-3,,true,,533,426,4,4,http://localhost:8080/api/v1/product/1/price/,15,0,0
1678727999098,15,S01_S01_OP: product/1/price/,200,,Thread Group 1-3,,true,,533,426,4,4,http://localhost:8080/api/v1/product/1/price/,15,0,0
1678727999113,4,S01_S01_POST: product/1/price/,200,,Thread Group 1-3,text,true,,531,422,4,4,http://localhost:8080/api/v1/product/1/price/,3,0,0
1678727999117,4,S01_S01_POST product/1/price/,200,,Thread Group 1-3,text,true,,531,422,4,4,http://localhost:8080/api/v1/product/1/price/,4,0,0
1678727999078,232,S01_01_Launch,404,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-4,,false,,25194,11628,5,5,null,0,9,0
1678727999078,10,PING,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,983,761,4,4,null,0,2,0
1678727999079,6,/actuator/health/ping,200,,Thread Group 1-4,,true,,533,409,4,4,http://localhost:8080/actuator/health/ping,6,0,0
1678727999085,4,/actuator/health/ping,200,,Thread Group 1-4,text,true,,450,352,4,4,http://localhost:8080/actuator/health/ping,3,0,0
1678727999090,51,CHAIR_PRODUCT_PRICE,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-4,,true,,3190,2550,4,4,null,0,1,0
1678727999090,12,OP: product/50/price/,200,,Thread Group 1-4,,true,,533,427,4,4,http://localhost:8080/api/v1/product/50/price/,12,0,0
1678727999102,16,OP: product/51/price/,200,,Thread Group 1-4,,true,,533,427,4,4,http://localhost:8080/api/v1/product/51/price/,16,0,0
1678727999118,11,OP: product/52/price/,200,,Thread Group 1-4,,true,,533,427,4,4,http://localhost:8080/api/v1/product/52/price/,11,0,0
1678727999129,4,POST: product/51/price/,200,,Thread Group 1-4,text,true,,531,423,4,4,http://localhost:8080/api/v1/product/51/price/,4,0,0
1678727999134,4,POST: product/50/price/,200,,Thread Group 1-4,text,true,,529,423,4,4,http://localhost:8080/api/v1/product/50/price/,3,0,0
1678727999138,4,POST: product/52/price/,200,,Thread Group 1-4,text,true,,531,423,4,4,http://localhost:8080/api/v1/product/52/price/,3,0,0
1678727999142,70,STORE_RELATED_ITEMS,404,"Number of samples in transaction : 8, number of failing samples : 1",Thread Group 1-4,,false,,5859,3236,4,4,null,0,2,0
1678727999142,13,OP: category/?count=20&page=0&store=DEFAULT&lang=en,200,,Thread Group 1-4,,true,,533,443,4,4,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,13,0,0
1678727999156,13,OP: content/boxes/headerMessage/?lang=en,200,,Thread Group 1-4,,true,,533,432,4,4,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,13,0,0
1678727999169,14,OP: store/DEFAULT,200,,Thread Group 1-4,,true,,533,409,4,4,http://localhost:8080/api/v1/store/DEFAULT,14,0,0
1678727999184,13,OP: content/pages/?page=0&count=20&store=DEFAULT&lang=e,200,,Thread Group 1-4,,true,,533,448,4,4,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,13,0,0
1678727999197,4,GET: content/pages/,200,,Thread Group 1-4,text,true,,511,391,4,4,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,3,0,0
1678727999201,3,GET: store/DEFAULT,200,,Thread Group 1-4,text,true,,1163,352,4,4,http://localhost:8080/api/v1/store/DEFAULT,2,0,0
1678727999204,6,GET: content/boxes/headerMessage/,404,,Thread Group 1-4,text,false,,522,375,4,4,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,5,0,0
1678727999210,4,GET: category,200,,Thread Group 1-4,text,true,,1531,386,4,4,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,3,0,0
1678727999214,11,S01_S01_OP: product/52/price/,200,,Thread Group 1-4,,true,,533,427,4,4,http://localhost:8080/api/v1/product/52/price/,11,0,0
1678727999226,13,S01_S01_OP: product/51/price/,200,,Thread Group 1-4,,true,,533,427,4,4,http://localhost:8080/api/v1/product/51/price/,13,0,0
1678727999239,12,S01_S01_OP: product/50/price/,200,,Thread Group 1-4,,true,,533,427,4,4,http://localhost:8080/api/v1/product/50/price/,12,0,0
1678727999251,4,S01_S01_POST: product/51/price/,200,,Thread Group 1-4,text,true,,531,423,4,4,http://localhost:8080/api/v1/product/51/price/,3,0,0
1678727999255,4,S01_S01_POST: product/50/price/,200,,Thread Group 1-4,text,true,,529,423,4,4,http://localhost:8080/api/v1/product/50/price/,3,0,0
1678727999259,4,S01_S01_POST: product/52/price/,200,,Thread Group 1-4,text,true,,531,423,4,4,http://localhost:8080/api/v1/product/52/price/,3,0,0
1678727999264,14,S01_S01_OP: products/group/FEATURED_ITEM,200,,Thread Group 1-4,,true,,533,446,4,4,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,14,0,0
1678727999278,8,S01_S01_GET: products/group/FEATURED_ITEM,200,,Thread Group 1-4,text,true,,9311,389,5,5,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,7,0,0
1678727999286,12,S01_S01_OP: product/1/price/,200,,Thread Group 1-4,,true,,533,426,5,5,http://localhost:8080/api/v1/product/1/price/,12,0,0
1678727999298,12,S01_S01_OP: product/1/price/,200,,Thread Group 1-4,,true,,533,426,5,5,http://localhost:8080/api/v1/product/1/price/,12,0,0
1678727999310,4,S01_S01_POST: product/1/price/,200,,Thread Group 1-4,text,true,,531,422,5,5,http://localhost:8080/api/v1/product/1/price/,3,0,0
1678727999315,3,S01_S01_POST product/1/price/,200,,Thread Group 1-4,text,true,,531,422,5,5,http://localhost:8080/api/v1/product/1/price/,3,0,0
1678727999278,219,S01_01_Launch,404,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-5,,false,,25194,11628,5,5,null,0,13,0
1678727999278,6,PING,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,983,761,5,5,null,0,2,0
1678727999279,4,/actuator/health/ping,200,,Thread Group 1-5,,true,,533,409,5,5,http://localhost:8080/actuator/health/ping,4,0,0
1678727999284,2,/actuator/health/ping,200,,Thread Group 1-5,text,true,,450,352,5,5,http://localhost:8080/actuator/health/ping,2,0,0
