timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679307204484,415,S01_01_Launch,404,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-1,,false,,26091,11624,3,3,null,0,72,17
1679307204484,32,PING,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,983,761,1,1,null,0,63,17
1679307204546,27,/actuator/health/ping,200,,Thread Group 1-1,,true,,533,409,1,1,http://localhost:8080/actuator/health/ping,27,0,17
1679307204574,5,/actuator/health/ping,200,,Thread Group 1-1,text,true,,450,352,1,1,http://localhost:8080/actuator/health/ping,4,0,0
1679307204579,66,CHAIR_PRODUCT_PRICE,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-1,,true,,3190,2550,1,1,null,0,1,0
1679307204579,14,OP: product/50/price/,200,,Thread Group 1-1,,true,,533,427,1,1,http://localhost:8080/api/v1/product/50/price/,14,0,0
1679307204593,13,OP: product/51/price/,200,,Thread Group 1-1,,true,,533,427,1,1,http://localhost:8080/api/v1/product/51/price/,13,0,0
1679307204606,13,OP: product/52/price/,200,,Thread Group 1-1,,true,,533,427,1,1,http://localhost:8080/api/v1/product/52/price/,13,0,0
1679307204619,11,POST: product/51/price/,200,,Thread Group 1-1,text,true,,531,423,1,1,http://localhost:8080/api/v1/product/51/price/,10,0,0
1679307204630,9,POST: product/50/price/,200,,Thread Group 1-1,text,true,,529,423,1,1,http://localhost:8080/api/v1/product/50/price/,9,0,0
1679307204639,6,POST: product/52/price/,200,,Thread Group 1-1,text,true,,531,423,1,1,http://localhost:8080/api/v1/product/52/price/,6,0,0
1679307204646,82,STORE_RELATED_ITEMS,404,"Number of samples in transaction : 7, number of failing samples : 1",Thread Group 1-1,,false,,6857,3232,2,2,null,0,4,0
1679307204646,5,GET: category/?count=20&page=0&store=DEFAULT&lang=en,200,,Thread Group 1-1,text,true,,1531,439,1,1,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,5,0,0
1679307204654,28,bzm - Parallel Controller,200,OK,Thread Group 1-1,,true,,1066,857,2,2,null,0,0,0
1679307204656,23,OP: content/pages/?page=0&count=20&store=DEFAULT&lang=e,200,,Thread Group 1-1,,true,,533,448,2,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,23,0,1
1679307204656,26,OP: store/DEFAULT,200,,Thread Group 1-1,,true,,533,409,2,2,http://localhost:8080/api/v1/store/DEFAULT,26,0,1
1679307204683,18,OP: content/boxes/headerMessage/?lang=en,200,,Thread Group 1-1,,true,,533,432,2,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,18,0,0
1679307204701,5,GET: content/pages/,200,,Thread Group 1-1,text,true,,511,391,2,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,4,0,0
1679307204706,4,GET: store/DEFAULT,200,,Thread Group 1-1,text,true,,1163,352,2,2,http://localhost:8080/api/v1/store/DEFAULT,4,0,0
1679307204710,8,GET: content/boxes/headerMessage/,404,,Thread Group 1-1,text,false,,522,375,2,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,7,0,0
1679307204718,14,GET: category,200,,Thread Group 1-1,text,true,,1531,386,2,2,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,6,0,0
1679307204733,19,S01_S01_OP: product/52/price/,200,,Thread Group 1-1,,true,,533,427,2,2,http://localhost:8080/api/v1/product/52/price/,19,0,0
1679307204752,24,S01_S01_OP: product/51/price/,200,,Thread Group 1-1,,true,,533,427,2,2,http://localhost:8080/api/v1/product/51/price/,24,0,0
1679307204777,17,S01_S01_OP: product/50/price/,200,,Thread Group 1-1,,true,,533,427,2,2,http://localhost:8080/api/v1/product/50/price/,17,0,0
1679307204794,31,S01_S01_POST: product/51/price/,200,,Thread Group 1-1,text,true,,531,423,2,2,http://localhost:8080/api/v1/product/51/price/,16,0,0
1679307204825,16,S01_S01_POST: product/50/price/,200,,Thread Group 1-1,text,true,,529,423,2,2,http://localhost:8080/api/v1/product/50/price/,15,0,0
1679307204841,14,S01_S01_POST: product/52/price/,200,,Thread Group 1-1,text,true,,531,423,2,2,http://localhost:8080/api/v1/product/52/price/,14,0,0
1679307204856,16,S01_S01_GET: products/group/FEATURED_ITEM,200,,Thread Group 1-1,text,true,,9311,442,2,2,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,16,0,0
1679307204873,6,S01_S01_OP: products/group/FEATURED_ITEM,200,,Thread Group 1-1,,true,,432,393,3,3,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,6,0,0
1679307204879,23,S01_S01_OP: product/1/price/,200,,Thread Group 1-1,,true,,533,426,3,3,http://localhost:8080/api/v1/product/1/price/,23,0,0
1679307204902,26,S01_S01_OP: product/1/price/,200,,Thread Group 1-1,,true,,533,426,3,3,http://localhost:8080/api/v1/product/1/price/,26,0,0
1679307204928,23,S01_S01_POST: product/1/price/,200,,Thread Group 1-1,text,true,,531,422,3,3,http://localhost:8080/api/v1/product/1/price/,21,0,0
1679307204951,20,S01_S01_POST product/1/price/,200,,Thread Group 1-1,text,true,,531,422,3,3,http://localhost:8080/api/v1/product/1/price/,16,0,0
1679307204681,388,S01_01_Launch,404,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-2,,false,,26091,11624,3,3,null,0,11,1
1679307204681,13,PING,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,983,761,2,2,null,0,2,1
1679307204682,7,/actuator/health/ping,200,,Thread Group 1-2,,true,,533,409,2,2,http://localhost:8080/actuator/health/ping,7,0,1
1679307204689,6,/actuator/health/ping,200,,Thread Group 1-2,text,true,,450,352,2,2,http://localhost:8080/actuator/health/ping,5,0,0
1679307204696,97,CHAIR_PRODUCT_PRICE,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-2,,true,,3190,2550,2,2,null,0,1,0
1679307204696,26,OP: product/50/price/,200,,Thread Group 1-2,,true,,533,427,2,2,http://localhost:8080/api/v1/product/50/price/,26,0,0
1679307204722,21,OP: product/51/price/,200,,Thread Group 1-2,,true,,533,427,2,2,http://localhost:8080/api/v1/product/51/price/,21,0,0
1679307204743,13,OP: product/52/price/,200,,Thread Group 1-2,,true,,533,427,2,2,http://localhost:8080/api/v1/product/52/price/,13,0,0
1679307204756,11,POST: product/51/price/,200,,Thread Group 1-2,text,true,,531,423,2,2,http://localhost:8080/api/v1/product/51/price/,11,0,0
1679307204768,8,POST: product/50/price/,200,,Thread Group 1-2,text,true,,529,423,2,2,http://localhost:8080/api/v1/product/50/price/,6,0,0
1679307204776,18,POST: product/52/price/,200,,Thread Group 1-2,text,true,,531,423,2,2,http://localhost:8080/api/v1/product/52/price/,17,0,0
1679307204794,96,STORE_RELATED_ITEMS,404,"Number of samples in transaction : 7, number of failing samples : 1",Thread Group 1-2,,false,,6857,3232,3,3,null,0,5,0
1679307204794,13,GET: category/?count=20&page=0&store=DEFAULT&lang=en,200,,Thread Group 1-2,text,true,,1531,439,2,2,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,12,0,0
1679307204807,23,bzm - Parallel Controller,200,OK,Thread Group 1-2,,true,,1066,857,2,2,null,0,0,0
1679307204809,20,OP: content/pages/?page=0&count=20&store=DEFAULT&lang=e,200,,Thread Group 1-2,,true,,533,448,2,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,20,0,0
1679307204809,21,OP: store/DEFAULT,200,,Thread Group 1-2,,true,,533,409,2,2,http://localhost:8080/api/v1/store/DEFAULT,21,0,0
1679307204831,22,OP: content/boxes/headerMessage/?lang=en,200,,Thread Group 1-2,,true,,533,432,2,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,22,0,0
1679307204854,7,GET: content/pages/,200,,Thread Group 1-2,text,true,,511,391,2,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,6,0,0
1679307204862,4,GET: store/DEFAULT,200,,Thread Group 1-2,text,true,,1163,352,2,2,http://localhost:8080/api/v1/store/DEFAULT,4,0,0
